"序号",年度,姓名,工作单位,获选时间
CA8782527A0130AEE0530B4214ACA205,2021,梁振华,德清县第一中学,2021/7/20
CA87825279B630AEE0530B4214ACA205,2021,虞哲骏,镇海中学,2021/7/20
CA8782527B1C30AEE0530B4214ACA205,2019,吴亚玲,平湖市培智学校,2019/8/14
CA8782527DBF30AEE0530B4214ACA205,2013,徐多娇,乐清市实验小学,2013/8/27
CA8782527E3130AEE0530B4214ACA205,2013,金可泽,南海实验初中,2013/8/27
CA878252799330AEE0530B4214ACA205,2021,刘静,杭州市钱塘实验小学,2021/7/20
CA8782527CBB30AEE0530B4214ACA205,2015,宋平,余姚市第五职业技术学校,2015/8/3
CA8782527DAE30AEE0530B4214ACA205,2013,陈丹亚,奉化市武岭中学,2013/8/27
CA8782527E1330AEE0530B4214ACA205,2013,包丽芳,莲都区花园中学,2013/8/27
CA8782527BD430AEE0530B4214ACA205,2017,杨丹,宁波市鄞州区古林职业高级中学,2017/8/9
CA8782527E6430AEE0530B4214ACA205,2011,何锋,宁波市鄞州蓝青学校,2011/9/16
CA87825279AD30AEE0530B4214ACA205,2021,陈英,杭州市人民职业学校,2021/7/20
CA8782527E1B30AEE0530B4214ACA205,2013,吴丽芳,庆元县实验小学,2013/8/27
CA8782527D0130AEE0530B4214ACA205,2015,梅琴,嘉兴市第五高级中学,2015/8/3
CA8782527A5C30AEE0530B4214ACA205,2021,周焱,南海实验学校初中部,2021/7/20
CA87825279F530AEE0530B4214ACA205,2021,王孝厂,浙江省温州中学,2021/7/20
CA8782527D1730AEE0530B4214ACA205,2015,许锴杰,上虞区实验中学,2015/8/3
CA8782527D2B30AEE0530B4214ACA205,2015,杜璟浛,东阳中学,2015/8/3
CA8782527B7B30AEE0530B4214ACA205,2019,李剑飞,仙居中学,2019/8/14
CA8782527D3130AEE0530B4214ACA205,2015,祝响响,浦江县檀溪中心小学,2015/8/3
CA87825279F430AEE0530B4214ACA205,2021,李丽丽,龙港市第一小学,2021/7/20
