time,symbol,volume,open,high,low,last,change,percent,turnover_rate
2001-08-27,600519.SH,40631800,4.555,4.9866,4.3359,4.6923,0.549,13.25,56.83
2001-08-28,600519.SH,12964779,4.6183,4.8836,4.5682,4.8652,0.1727,3.68,18.13
2001-08-29,600519.SH,5325275,4.881,4.8836,4.7649,4.8018,-0.0632,-1.3,7.45
2001-08-30,600519.SH,4801306,4.7886,4.951,4.7517,4.8968,0.0951,1.98,6.72
2001-08-31,600519.SH,2323148,4.9034,4.9655,4.8572,4.885,-0.0118,-0.24,3.25
2001-09-03,600519.SH,2211209,4.91,4.9589,4.8638,4.8823,-0.0147,-0.3,3.09
2001-09-04,600519.SH,3700677,4.885,5.0262,4.8678,4.9444,0.062,1.27,5.18
2001-09-05,600519.SH,2606695,4.9642,5.0051,4.9114,4.9417,-0.0025,-0.05,3.65
2001-09-06,600519.SH,2899703,4.9298,4.9457,4.819,4.844,-0.0978,-1.98,4.06
2001-09-07,600519.SH,3155225,4.8177,4.877,4.7055,4.7094,-0.1347,-2.78,4.41
2001-09-10,600519.SH,1887889,4.6725,4.8638,4.621,4.844,0.1347,2.86,2.64
2001-09-11,600519.SH,1139081,4.8572,4.877,4.7781,4.7899,-0.0543,-1.12,1.59
2001-09-12,600519.SH,2504519,4.6632,4.7781,4.6593,4.749,-0.0407,-0.85,3.5
2001-09-13,600519.SH,1098668,4.753,4.7913,4.7121,4.7371,-0.0119,-0.25,1.54
2001-09-14,600519.SH,767283,4.753,4.8177,4.7253,4.7913,0.054,1.14,1.07
2001-09-17,600519.SH,898397,4.7622,4.7899,4.6857,4.7305,-0.0609,-1.27,1.26
2001-09-18,600519.SH,1077326,4.7358,4.8242,4.7319,4.7847,0.0539,1.14,1.51
2001-09-19,600519.SH,865053,4.7913,4.8731,4.7596,4.8731,0.0885,1.85,1.21
2001-09-20,600519.SH,1117335,4.8704,4.8902,4.8177,4.8322,-0.0409,-0.84,1.56
2001-09-21,600519.SH,787972,4.7886,4.8308,4.7517,4.7596,-0.1135,-2.33,1.1
2001-09-24,600519.SH,406860,4.7596,4.8031,4.7517,4.7583,-0.0014,-0.03,0.57
2001-09-25,600519.SH,348845,4.7886,4.8229,4.7583,4.782,0.0238,0.5,0.49
2001-09-26,600519.SH,495626,4.7662,4.815,4.7517,4.7622,-0.0196,-0.41,0.69
2001-09-27,600519.SH,877804,4.7622,4.881,4.7517,4.844,0.0819,1.72,1.23
2001-09-28,600519.SH,1708847,4.8704,4.91,4.8177,4.8955,0.0513,1.06,2.39
2001-10-08,600519.SH,655217,4.8836,4.9074,4.7847,4.8282,-0.0676,-1.38,0.92
2001-10-09,600519.SH,955852,4.8308,4.9496,4.8308,4.9232,0.0951,1.97,1.34
2001-10-10,600519.SH,1754869,4.9232,4.9404,4.7556,4.7649,-0.1585,-3.22,2.45
2001-10-11,600519.SH,1230684,4.753,4.8177,4.7055,4.7187,-0.0462,-0.97,1.72
2001-10-12,600519.SH,2001070,4.7385,4.8374,4.4943,4.7517,0.033,0.7,2.8
2001-10-15,600519.SH,975531,4.7385,4.7517,4.6065,4.6593,-0.0922,-1.94,1.36
2001-10-16,600519.SH,831991,4.6368,4.7253,4.5867,4.5933,-0.0662,-1.42,1.16
2001-10-17,600519.SH,1250768,4.5919,4.5946,4.4745,4.5141,-0.079,-1.72,1.75
2001-10-18,600519.SH,498346,4.5141,4.5748,4.4758,4.493,-0.0212,-0.47,0.7
2001-10-19,600519.SH,1568754,4.4877,4.5075,4.357,4.4217,-0.0714,-1.59,2.19
2001-10-22,600519.SH,976065,4.3953,4.4481,4.3161,4.328,-0.0937,-2.12,1.37
2001-10-23,600519.SH,4059824,4.7517,4.7609,4.621,4.7609,0.4328,10.0,5.68
2001-10-24,600519.SH,4068239,4.8546,4.8572,4.6342,4.7332,-0.0276,-0.58,5.69
2001-10-25,600519.SH,1603686,4.7121,4.7253,4.6012,4.6038,-0.1292,-2.73,2.24
2001-10-26,600519.SH,900220,4.5801,4.6329,4.5431,4.6197,0.0157,0.34,1.26
2001-10-29,600519.SH,458786,4.6038,4.7028,4.6038,4.6593,0.0397,0.86,0.64
2001-10-30,600519.SH,348417,4.6527,4.6843,4.6091,4.6197,-0.0396,-0.85,0.49
2001-10-31,600519.SH,476247,4.6197,4.6315,4.5933,4.6263,0.0065,0.14,0.67
2001-11-01,600519.SH,664303,4.6263,4.7041,4.6131,4.6949,0.0685,1.48,0.93
2001-11-02,600519.SH,343520,4.6566,4.7147,4.6408,4.6672,-0.0277,-0.59,0.48
2001-11-05,600519.SH,369076,4.6197,4.654,4.5801,4.6065,-0.0607,-1.3,0.52
2001-11-06,600519.SH,260931,4.5933,4.6593,4.5827,4.6395,0.0332,0.72,0.36
2001-11-07,600519.SH,932500,4.6197,4.6197,4.4613,4.4679,-0.1717,-3.7,1.3
2001-11-08,600519.SH,740216,4.4019,4.4732,4.353,4.4481,-0.0197,-0.44,1.04
2001-11-09,600519.SH,376076,4.4481,4.551,4.4006,4.5075,0.0596,1.34,0.53
2001-11-12,600519.SH,268333,4.5405,4.5405,4.4243,4.4349,-0.0726,-1.61,0.38
2001-11-13,600519.SH,267381,4.3926,4.4481,4.3834,4.4402,0.0053,0.12,0.37
2001-11-14,600519.SH,76900,4.4402,4.4877,4.4402,4.4415,0.0013,0.03,0.11
2001-11-15,600519.SH,219345,4.4415,4.4613,4.4217,4.4454,0.004,0.09,0.31
2001-11-16,600519.SH,995470,4.7781,4.7781,4.4864,4.4996,0.0542,1.22,1.39
2001-11-19,600519.SH,995470,4.5075,4.6302,4.5009,4.6263,0.1269,2.82,1.39
2001-11-20,600519.SH,373461,4.6461,4.6896,4.6065,4.6698,0.0435,0.94,0.52
2001-11-21,600519.SH,500042,4.683,4.6857,4.6065,4.6434,-0.0266,-0.57,0.7
2001-11-22,600519.SH,419879,4.6487,4.6593,4.6078,4.6355,-0.0079,-0.17,0.59
2001-11-23,600519.SH,396090,4.621,4.6527,4.5906,4.617,-0.0185,-0.4,0.55
2001-11-26,600519.SH,310099,4.6197,4.6197,4.5537,4.5682,-0.0489,-1.06,0.43
2001-11-27,600519.SH,256948,4.5642,4.6289,4.5642,4.6197,0.0516,1.13,0.36
2001-11-28,600519.SH,377362,4.6263,4.6711,4.6065,4.6263,0.0065,0.14,0.53
2001-11-29,600519.SH,304618,4.621,4.6461,4.5946,4.5972,-0.0291,-0.63,0.43
2001-11-30,600519.SH,407097,4.5972,4.6791,4.5933,4.6645,0.0671,1.46,0.57
2001-12-03,600519.SH,1603705,4.6659,4.7873,4.6645,4.7741,0.1096,2.35,2.24
2001-12-04,600519.SH,689499,4.7847,4.7873,4.7266,4.7794,0.0053,0.11,0.96
2001-12-05,600519.SH,1502835,4.8836,4.8836,4.7464,4.7517,-0.0277,-0.58,2.1
2001-12-06,600519.SH,637222,4.7385,4.7913,4.7253,4.7596,0.0081,0.17,0.89
2001-12-07,600519.SH,390820,4.7649,4.7781,4.7253,4.7332,-0.0262,-0.55,0.55
2001-12-10,600519.SH,416156,4.7517,4.7622,4.7134,4.7503,0.017,0.36,0.58
2001-12-11,600519.SH,358002,4.7517,4.7517,4.7002,4.7041,-0.0461,-0.97,0.5
2001-12-12,600519.SH,463267,4.6989,4.7649,4.6989,4.7213,0.0169,0.36,0.65
2001-12-13,600519.SH,354045,4.7002,4.7477,4.6461,4.654,-0.0675,-1.43,0.5
2001-12-14,600519.SH,284125,4.6223,4.6857,4.6223,4.6461,-0.0079,-0.17,0.4
2001-12-17,600519.SH,441389,4.6342,4.7002,4.6263,4.6672,0.0209,0.45,0.62
2001-12-18,600519.SH,482120,4.683,4.7464,4.6329,4.7385,0.0714,1.53,0.67
2001-12-19,600519.SH,962001,4.7385,4.8163,4.7028,4.7464,0.0081,0.17,1.35
2001-12-20,600519.SH,1136223,4.7385,4.7385,4.5735,4.588,-0.1585,-3.34,1.59
2001-12-21,600519.SH,813504,4.5801,4.7477,4.5801,4.7345,0.1464,3.19,1.14
2001-12-24,600519.SH,2725079,4.7503,4.9166,4.7266,4.8071,0.0724,1.53,3.81
2001-12-25,600519.SH,1218260,4.8111,4.8467,4.7451,4.8177,0.0106,0.22,1.7
2001-12-26,600519.SH,1680952,4.8229,4.9166,4.7649,4.9087,0.0911,1.89,2.35
2001-12-27,600519.SH,2328478,4.9127,4.9945,4.8731,4.9259,0.0172,0.35,3.26
2001-12-28,600519.SH,1227932,4.9232,4.9628,4.8678,4.9232,-0.0025,-0.05,1.72
2001-12-31,600519.SH,5219541,4.9721,5.1872,4.9444,5.0882,0.1649,3.35,7.3
2002-01-04,600519.SH,2910962,5.1107,5.1212,4.943,4.9562,-0.1318,-2.59,4.07
2002-01-07,600519.SH,1894295,4.9034,4.9496,4.8414,4.9298,-0.0263,-0.53,2.65
2002-01-08,600519.SH,1328664,4.8836,4.9615,4.815,4.8295,-0.1001,-2.03,1.86
2002-01-09,600519.SH,1060682,4.8177,4.9074,4.7979,4.8665,0.0372,0.77,1.48
2002-01-10,600519.SH,1881555,4.881,4.9351,4.7979,4.9153,0.0487,1.0,2.63
2002-01-11,600519.SH,1183475,4.885,4.9021,4.7517,4.7583,-0.1573,-3.2,1.66
2002-01-14,600519.SH,1871851,4.7121,4.8045,4.6764,4.7649,0.0067,0.14,2.62
2002-01-15,600519.SH,1824741,4.749,4.8902,4.7398,4.8229,0.0581,1.22,2.55
2002-01-16,600519.SH,1397433,4.815,4.8797,4.6725,4.7979,-0.0251,-0.52,1.95
2002-01-17,600519.SH,2418031,4.7781,4.8163,4.5801,4.6276,-0.1703,-3.55,3.38
2002-01-18,600519.SH,3226208,4.5933,4.8678,4.5801,4.8374,0.2101,4.54,4.51
2002-01-21,600519.SH,1575593,4.7913,4.8308,4.6962,4.7345,-0.103,-2.13,2.2
2002-01-22,600519.SH,1348567,4.7253,4.877,4.7253,4.8097,0.0753,1.59,1.89
2002-01-23,600519.SH,2333648,4.8374,4.9694,4.7781,4.9655,0.1558,3.24,3.26
2002-01-24,600519.SH,2661580,4.9312,4.9985,4.8572,4.9219,-0.0437,-0.88,3.72
2002-01-25,600519.SH,1394112,4.9153,4.9589,4.8572,4.8968,-0.0251,-0.51,1.95
2002-01-28,600519.SH,2166782,4.8836,4.9219,4.6593,4.6843,-0.2125,-4.34,3.03
2002-01-29,600519.SH,1187200,4.6461,4.7781,4.617,4.7068,0.0225,0.48,1.66
2002-01-30,600519.SH,841922,4.6989,4.7886,4.6461,4.6962,-0.0104,-0.22,1.18
2002-01-31,600519.SH,4082830,4.7517,5.0156,4.7517,4.9628,0.2667,5.68,5.71
2002-02-01,600519.SH,1734503,4.9496,5.013,4.8704,4.8916,-0.0715,-1.44,2.43
2002-02-04,600519.SH,1651019,4.9074,5.0354,4.8836,5.0051,0.1135,2.32,2.31
2002-02-05,600519.SH,1119573,5.0064,5.1054,4.9668,5.0024,-0.0025,-0.05,1.57
2002-02-06,600519.SH,966854,4.9972,5.0302,4.8955,4.9074,-0.095,-1.9,1.35
2002-02-07,600519.SH,668817,4.9074,5.0051,4.8995,4.9378,0.0304,0.62,0.94
2002-02-08,600519.SH,1256931,4.9628,5.042,4.9602,4.9694,0.0316,0.64,1.76
2002-02-26,600519.SH,1481599,5.0143,5.0816,4.943,4.9853,0.0159,0.32,2.07
2002-02-27,600519.SH,829081,4.9958,5.0288,4.9496,5.0064,0.0209,0.42,1.16
2002-02-28,600519.SH,1250698,5.0156,5.0764,4.9866,5.0156,0.009,0.18,1.75
2002-03-01,600519.SH,742145,5.009,5.0354,4.91,4.9351,-0.0808,-1.61,1.04
2002-03-04,600519.SH,522485,4.9298,5.0262,4.8995,5.0209,0.0859,1.74,0.73
2002-03-05,600519.SH,2218887,5.0236,5.1608,4.9972,5.0935,0.0728,1.45,3.1
2002-03-06,600519.SH,1862014,5.1212,5.1582,5.0183,5.0632,-0.0306,-0.6,2.6
2002-03-07,600519.SH,1361602,5.042,5.0948,5.0222,5.0816,0.0182,0.36,1.9
2002-03-08,600519.SH,3532681,5.0882,5.2506,5.0882,5.2308,0.1494,2.94,4.94
2002-03-11,600519.SH,1760600,5.2387,5.2387,5.1569,5.207,-0.0235,-0.45,2.46
2002-03-12,600519.SH,1725185,5.207,5.207,5.0816,5.0816,-0.1255,-2.41,2.41
2002-03-13,600519.SH,779399,5.0566,5.1212,5.0407,5.0473,-0.0346,-0.68,1.09
2002-03-14,600519.SH,638774,5.0302,5.108,5.0222,5.0975,0.05,0.99,0.89
2002-03-15,600519.SH,1189288,5.0183,5.1344,4.9958,5.0051,-0.0923,-1.81,1.66
2002-03-18,600519.SH,607027,5.0315,5.1212,5.0024,5.0156,0.0105,0.21,0.85
2002-03-19,600519.SH,677404,5.0288,5.1318,5.0183,5.1146,0.0988,1.97,0.95
2002-03-20,600519.SH,1503133,5.1212,5.2136,5.108,5.1437,0.0292,0.57,2.1
2002-03-21,600519.SH,1503721,5.1872,5.2215,5.1027,5.1371,-0.0067,-0.13,2.1
2002-03-22,600519.SH,797276,5.1371,5.1476,5.0711,5.0869,-0.0503,-0.98,1.12
2002-03-25,600519.SH,431507,5.0803,5.1344,5.0552,5.1186,0.0315,0.62,0.6
2002-03-26,600519.SH,623909,5.108,5.1212,5.0315,5.042,-0.0768,-1.5,0.87
2002-03-27,600519.SH,499101,5.0354,5.0764,5.0038,5.0288,-0.0131,-0.26,0.7
2002-03-28,600519.SH,529157,5.017,5.0526,5.0156,5.017,-0.0121,-0.24,0.74
2002-03-29,600519.SH,1062547,5.0156,5.0222,4.8968,4.918,-0.0988,-1.97,1.49
2002-04-01,600519.SH,276605,4.9048,4.9879,4.8995,4.9628,0.0448,0.91,0.39
2002-04-02,600519.SH,732933,4.9642,4.984,4.8586,4.8863,-0.0764,-1.54,1.03
2002-04-03,600519.SH,601945,4.8863,4.9232,4.8599,4.881,-0.0054,-0.11,0.84
2002-04-04,600519.SH,516143,4.8797,4.9628,4.819,4.9602,0.0791,1.62,0.72
2002-04-05,600519.SH,304685,4.9866,5.0077,4.8968,4.9206,-0.0397,-0.8,0.43
2002-04-08,600519.SH,230046,4.9232,4.9364,4.877,4.8836,-0.0369,-0.75,0.32
2002-04-09,600519.SH,329157,4.8836,4.9496,4.8678,4.9404,0.0567,1.16,0.46
2002-04-10,600519.SH,342383,4.9404,4.9853,4.91,4.947,0.0064,0.13,0.48
2002-04-11,600519.SH,679799,4.9483,4.9998,4.9378,4.9483,0.0015,0.03,0.95
2002-04-12,600519.SH,451928,4.9655,5.0447,4.9523,5.0156,0.0673,1.36,0.63
2002-04-15,600519.SH,292594,5.0764,5.0816,4.9628,5.0011,-0.0145,-0.29,0.41
2002-04-16,600519.SH,603615,4.9998,5.0552,4.9998,5.05,0.049,0.98,0.84
2002-04-17,600519.SH,1321928,5.0816,5.0816,4.8638,4.881,-0.1692,-3.35,1.85
2002-04-18,600519.SH,853815,4.8836,4.9087,4.8018,4.8031,-0.0781,-1.6,1.19
2002-04-19,600519.SH,885432,4.8031,4.8111,4.7371,4.7807,-0.0226,-0.47,1.24
2002-04-22,600519.SH,411365,4.7517,4.8045,4.7385,4.7767,-0.0038,-0.08,0.58
2002-04-23,600519.SH,408822,4.7767,4.7767,4.687,4.6883,-0.0884,-1.85,0.57
2002-04-24,600519.SH,505088,4.6857,4.7358,4.6408,4.6513,-0.037,-0.79,0.71
2002-04-25,600519.SH,259676,4.6329,4.7094,4.6329,4.687,0.0358,0.77,0.36
