"地区编码",单位名称,邮政编码,详细地址,评估定级情况,总藏量,电子图书,书架单层总长度,本年新增藏量,本年新增电子图书,当年购买的报刊种类,有效借书证数,总流通人次,书刊文献外借册次,计算机,图书馆网站访问量,实际使用公用房屋建筑面积,实际拥有产权面积,阅览室坐席数,联系电话,组织机构代码,年份
330482,平湖市图书馆,314200,当湖街道三港路,一级馆,0.0,1027681.0,2657992.0,8467.0,43289.0,55000.0,1623.0,123489.0,2507785.0,1217412.0,217.0,7544276.0,14276.0,7720.0,2411,85108268,2018
330211,宁波市镇海区图书馆,315200,招宝山街道人民路58号,一级馆,369427.0,17908.0,0.0,47535.0,0.0,732.0,20856.0,413600.0,496958.0,140.0,74000.0,9000.0,9000.0,400.0,86274799,41956637X,2016
330683,嵊州市图书馆,312400,嵊州市龙会路26号,一级馆,573160.0,4120.0,28590.0,18959.0,3500.0,588.0,25333.0,915992.0,480153.0,63.0,126352.0,3160.0,3160.0,350.0,83011103,681694019,2017
331023,天台县图书馆,317200,天台县赤城街道劳动路27号,三级馆,150433.0,15354.0,1661.0,10028.0,0.0,196.0,5724.0,1120000.0,93347.0,34.0,0.0,1658.0,1658.0,124.0,83880298,799629626,2016
330104,江干区图书馆,310016,江干区太平门直街458号,一级馆,374679.0,350000.0,434.0,52131.0,350000.0,452.0,12819.0,458473.0,934986.0,54.0,8399.0,3500.0,0.0,747.0,86753385,691744104,2017
330701,金华严济慈图书馆（金华市图书馆）,321000,永康街288号,一级馆,488940.0,814646.0,7700.0,77988.0,0.0,822.0,53349.0,1152244.0,474183.0,115.0,102400.0,11396.0,0.0,614.0,82069522,556195130,2017
330421,嘉善县图书馆,314100,谈公北路57号,一级馆,869754.0,500992.0,7360.0,174280.0,410992.0,468.0,55371.0,1941244.0,864835.0,62.0,48000.0,4302.0,4302.0,308.0,84128543,471001392,2016
330206,宁波大榭开发区图书馆（青少年宫）,315812,宁波北仑区大榭街道海山路103号,无等级馆,93684.0,3000.0,1691.0,18721.0,3000.0,463.0,3126.0,25600.0,62894.0,40.0,0.0,3006.0,3006.0,207.0,86751562,309027375,2017
331123,遂昌县图书馆,323300,浙江省遂昌县妙高镇公园路95号,三级馆,148559.0,0.0,2122.0,8980.0,0.0,315.0,4993.0,70218.0,99636.0,36.0,0.0,1700.0,1700.0,170.0,8122284,472490511,2016
330401,嘉兴市图书馆,314001,嘉兴市海盐塘路,一级馆,2509823.0,1581900.0,19011.0,147474.0,50000.0,4024.0,223385.0,3609773.0,2288501.0,311.0,1028638.0,31520.0,0.0,811.0,82535026,470890757,2017
330999,舟山市图书馆,316000,舟山市临城海天大道,一级馆,868461.0,3.329365E8,14871.0,157745.0,2.42846344E8,1541.0,66194.0,814401.0,783804.0,189.0,237696.0,12360.0,12360.0,672.0,8063608,472092839,2016
330281,余姚市图书馆,315400,浙江省余姚市舜水南路106号,一级馆,617479.0,19632.0,6216.0,39079.0,2621.0,674.0,26681.0,189708.0,519544.0,58.0,497797.0,2163.0,2163.0,180.0,62705920,419642408,2016
